"Group","n","observed","shannon","chao1"
"IBS_after",36,50,3.00909263280534,52.5
"IBS_before",36,47.5,3.06455587576926,50
"UC_after",29,43,2.39062943021998,46
"UC_before",29,44,2.85971980807353,44.5
