"taxon","mean_a","mean_b","log2FC","prevalence_a","prevalence_b","p","fdr","vs"
"Clostridium spiroforme",0.0002695,0.001713,2.663,0.056,0.172,0.1315,0.5252,"IBS_before vs UC_before"
"Bacteroides",0.02807,0.0382,0.445,0.833,0.897,0.1337,0.5252,"IBS_before vs UC_before"
"Prevotella stercorea",0.002567,5.152e-05,-5.612,0.194,0.069,0.1351,0.5252,"IBS_before vs UC_before"
"Atopobium",0.0003701,0.001599,2.108,0.139,0.276,0.1356,0.5252,"IBS_before vs UC_before"
"Blautia",0.01183,0.01615,0.449,0.667,0.759,0.1362,0.5252,"IBS_before vs UC_before"
"Gemmiger formicilis",0.01173,0.007,-0.745,0.639,0.448,0.1372,0.5252,"IBS_before vs UC_before"
"Bifidobacterium __",0.0001941,0.0003951,1.022,0.278,0.414,0.139,0.5252,"IBS_before vs UC_before"
"Catenibacterium",0.01125,0.0009296,-3.596,0.194,0.069,0.1531,0.543,"IBS_before vs UC_before"
"unclassified f:Lachnospiraceae",0.02156,0.01345,-0.681,0.806,0.586,0.1586,0.543,"IBS_before vs UC_before"
"Coprococcus",0.006269,0.01242,0.986,0.556,0.655,0.1621,0.543,"IBS_before vs UC_before"
"Bifidobacterium breve",0.0009885,0.001165,0.236,0.25,0.414,0.1669,0.543,"IBS_before vs UC_before"
"unclassified f:Caulobacteraceae",0.002133,0.00167,-0.352,0.361,0.172,0.1675,0.543,"IBS_before vs UC_before"
"__ __.10",6.806e-05,3.559e-05,-0.916,0.139,0.034,0.1677,0.543,"IBS_before vs UC_before"
"Desulfovibrio D168",0.006007,0.0002089,-4.839,0.167,0.069,0.1914,0.5899,"IBS_before vs UC_before"
"Faecalibacterium __",5.105e-05,8.872e-05,0.786,0.111,0.241,0.1925,0.5899,"IBS_before vs UC_before"
"Butyricicoccus pullicaecorum",0.001026,0.001744,0.765,0.111,0.241,0.1995,0.5899,"IBS_before vs UC_before"
"Coprococcus eutactus",0.002473,0.0006475,-1.932,0.222,0.103,0.1995,0.5899,"IBS_before vs UC_before"
"unclassified f:Christensenellaceae",0.002439,0.0006352,-1.94,0.25,0.138,0.2056,0.5913,"IBS_before vs UC_before"
"SMB53",0.0003754,0,-8.556,0.056,0,0.2087,0.5913,"IBS_before vs UC_before"
"unclassified o:Clostridiales",0.006808,0.003849,-0.823,0.667,0.586,0.2153,0.5976,"IBS_before vs UC_before"
"Butyricimonas",0.0004118,0.0001629,-1.333,0.167,0.069,0.2337,0.6342,"IBS_before vs UC_before"
"Haemophilus parainfluenzae",0.007731,0.005807,-0.413,0.5,0.379,0.2378,0.6342,"IBS_before vs UC_before"
"Clostridium neonatale",0.0003863,0.001948,2.331,0.111,0.207,0.252,0.6559,"IBS_before vs UC_before"
"Sutterella",0.00829,0.01424,0.78,0.778,0.724,0.2556,0.6559,"IBS_before vs UC_before"
"Blautia producta",0.001967,0.01012,2.363,0.194,0.31,0.2753,0.6934,"IBS_before vs UC_before"
"Alistipes putredinis",0.004733,0.001992,-1.248,0.25,0.138,0.2816,0.6963,"IBS_before vs UC_before"
"Hydrogenophaga palleronii",0.003194,0.001933,-0.724,0.361,0.241,0.2903,0.7051,"IBS_before vs UC_before"
"Bacteroides __",0.01063,0.01859,0.807,0.75,0.586,0.2982,0.7054,"IBS_before vs UC_before"
"Desulfovibrio",0.0009617,0.001558,0.696,0.306,0.414,0.3008,0.7054,"IBS_before vs UC_before"
"Klebsiella __",0.002972,0.001869,-0.669,0.278,0.172,0.3388,0.7811,"IBS_before vs UC_before"
"__ __.1",0.03915,0.03016,-0.376,0.944,0.862,0.352,0.7979,"IBS_before vs UC_before"
"Dorea",0.008292,0.01119,0.433,0.583,0.621,0.3827,0.8449,"IBS_before vs UC_before"
"Clostridium __",0.001864,0.001453,-0.36,0.139,0.241,0.3855,0.8449,"IBS_before vs UC_before"
"Hydrogenophaga __",0.0002794,3.712e-05,-2.879,0.083,0.034,0.4012,0.8449,"IBS_before vs UC_before"
"__ __.5",9.026e-06,9.229e-05,3.218,0.083,0.138,0.4044,0.8449,"IBS_before vs UC_before"
"Bifidobacterium adolescentis",0.03419,0.0603,0.818,0.611,0.655,0.405,0.8449,"IBS_before vs UC_before"
"__ __.3",7.235e-05,0.0002481,1.764,0.222,0.276,0.417,0.8449,"IBS_before vs UC_before"
"__ __.12",0.002554,0.0007562,-1.755,0.278,0.207,0.417,0.8449,"IBS_before vs UC_before"
"unclassified f:Peptostreptococcaceae",0.002927,0.0005919,-2.304,0.167,0.103,0.4225,0.8449,"IBS_before vs UC_before"
"__ __.11",0.0002587,0.0008128,1.648,0.111,0.172,0.4353,0.8537,"IBS_before vs UC_before"
"__ __",0.0008923,0.0002405,-1.887,0.444,0.345,0.4428,0.8537,"IBS_before vs UC_before"
"unclassified f:[Mogibacteriaceae]",0.0004917,0.0003687,-0.414,0.361,0.276,0.4457,0.8537,"IBS_before vs UC_before"
"Bifidobacterium",0.04024,0.07994,0.99,0.722,0.862,0.478,0.8919,"IBS_before vs UC_before"
"unclassified f:Coriobacteriaceae",0.001049,0.001463,0.479,0.167,0.241,0.4787,0.8919,"IBS_before vs UC_before"
"Lactobacillus __",0.001304,0.009177,2.814,0.361,0.379,0.4975,0.9001,"IBS_before vs UC_before"
"Abiotrophia",8.967e-05,0.0001951,1.113,0.056,0.103,0.5021,0.9001,"IBS_before vs UC_before"
"Ruminococcus",0.008769,0.005192,-0.756,0.778,0.793,0.503,0.9001,"IBS_before vs UC_before"
"unclassified f:S24-7",0.0008116,0.0006397,-0.343,0.444,0.379,0.5115,0.9035,"IBS_before vs UC_before"
"Bacteroides caccae",0.002283,0.002361,0.049,0.222,0.31,0.522,0.9049,"IBS_before vs UC_before"
"Granulicatella",0.002694,0.004339,0.687,0.444,0.448,0.5382,0.9049,"IBS_before vs UC_before"
"__ __.9",0.0003451,0.0006706,0.957,0.139,0.207,0.5445,0.9049,"IBS_before vs UC_before"
"Holdemania",0.0003276,0.0001725,-0.921,0.111,0.069,0.5543,0.9049,"IBS_before vs UC_before"
"Streptococcus __",0.002643,0.005306,1.005,0.389,0.414,0.5561,0.9049,"IBS_before vs UC_before"
"Caulobacter",0.001882,0.001368,-0.46,0.194,0.138,0.558,0.9049,"IBS_before vs UC_before"
"Megamonas",0.02865,0.009323,-1.62,0.472,0.483,0.5589,0.9049,"IBS_before vs UC_before"
"Turicibacter",0.001539,0.0005918,-1.377,0.25,0.207,0.5673,0.9076,"IBS_before vs UC_before"
"Brevundimonas __",0.00176,0.001381,-0.349,0.333,0.276,0.5886,0.9309,"IBS_before vs UC_before"
"Blautia obeum",0.001178,0.00238,1.014,0.167,0.207,0.6053,0.9462,"IBS_before vs UC_before"
"Weissella __",0.002284,0.00183,-0.32,0.25,0.207,0.6167,0.953,"IBS_before vs UC_before"
"Bacteroides fragilis",0.005437,0.004379,-0.312,0.5,0.552,0.6297,0.9622,"IBS_before vs UC_before"
"unclassified f:Chitinophagaceae",0.000595,0.0004391,-0.438,0.222,0.172,0.6435,0.9664,"IBS_before vs UC_before"
"[Eubacterium] dolichum",0.0002572,0.001086,2.074,0.167,0.207,0.6468,0.9664,"IBS_before vs UC_before"
"Dorea longicatena",0.001972,0.001802,-0.13,0.333,0.276,0.6571,0.9664,"IBS_before vs UC_before"
"Ruminococcus __",0.004074,0.0005206,-2.966,0.194,0.172,0.6608,0.9664,"IBS_before vs UC_before"
"CF231",0.0001737,0.0002693,0.63,0.139,0.172,0.6819,0.9864,"IBS_before vs UC_before"
"Roseburia",0.004608,0.01657,1.846,0.389,0.448,0.6959,0.9864,"IBS_before vs UC_before"
"unclassified f:Erysipelotrichaceae",0.009315,0.01213,0.381,0.583,0.586,0.6963,0.9864,"IBS_before vs UC_before"
"Pseudomonas viridiflava",0.004427,0.003996,-0.148,0.5,0.483,0.7287,0.9874,"IBS_before vs UC_before"
"Bifidobacterium animalis",2.015e-05,7.978e-05,1.933,0.056,0.034,0.7302,0.9874,"IBS_before vs UC_before"
"Desulfovibrio C21_c20",0.0007494,0.0008198,0.129,0.222,0.276,0.7336,0.9874,"IBS_before vs UC_before"
"[Eubacterium] biforme",0.00208,0.002544,0.29,0.167,0.138,0.7446,0.9874,"IBS_before vs UC_before"
"Clostridium ramosum",0.001814,0.003414,0.912,0.25,0.276,0.7456,0.9874,"IBS_before vs UC_before"
"Acinetobacter rhizosphaerae",0.0007468,0.0006967,-0.1,0.194,0.241,0.7481,0.9874,"IBS_before vs UC_before"
"Collinsella aerofaciens",0.007182,0.007448,0.053,0.417,0.345,0.7517,0.9874,"IBS_before vs UC_before"
"[Ruminococcus]",0.00624,0.006366,0.029,0.361,0.414,0.7631,0.9874,"IBS_before vs UC_before"
"__ __.4",0.0005629,0.0006778,0.268,0.111,0.138,0.7725,0.9874,"IBS_before vs UC_before"
"Lachnospira",0.009501,0.008643,-0.137,0.583,0.552,0.7832,0.9874,"IBS_before vs UC_before"
"Clostridium citroniae",0.001826,0.002287,0.325,0.167,0.138,0.7928,0.9874,"IBS_before vs UC_before"
"Eggerthella lenta",0.0009829,0.001804,0.875,0.278,0.276,0.7954,0.9874,"IBS_before vs UC_before"
"Bulleidia moorei",0.0001311,0.0001296,-0.016,0.111,0.138,0.8082,0.9874,"IBS_before vs UC_before"
"Oscillospira",0.01399,0.01121,-0.319,0.722,0.828,0.8163,0.9874,"IBS_before vs UC_before"
"unclassified c:TM7-3",0.0003131,0.0002332,-0.424,0.194,0.172,0.8226,0.9874,"IBS_before vs UC_before"
"[Ruminococcus] gnavus",0.02671,0.02761,0.048,0.694,0.759,0.831,0.9874,"IBS_before vs UC_before"
"Dialister",0.02464,0.02388,-0.045,0.667,0.724,0.8355,0.9874,"IBS_before vs UC_before"
"__ __.8",0.0001613,0.0003129,0.952,0.167,0.172,0.8478,0.9874,"IBS_before vs UC_before"
"Bifidobacterium bifidum",0.0007972,0.001407,0.819,0.167,0.172,0.8478,0.9874,"IBS_before vs UC_before"
"Veillonella dispar",0.01055,0.02814,1.415,0.583,0.517,0.8628,0.9874,"IBS_before vs UC_before"
"Sphingomonas yabuuchiae",0.001334,0.001073,-0.314,0.306,0.31,0.8654,0.9874,"IBS_before vs UC_before"
"Veillonella parvula",0.002189,0.002248,0.038,0.306,0.276,0.8825,0.9874,"IBS_before vs UC_before"
"Bacteroides ovatus",0.01199,0.01125,-0.092,0.583,0.517,0.8846,0.9874,"IBS_before vs UC_before"
"Anaerostipes",0.002133,0.001778,-0.262,0.278,0.276,0.8869,0.9874,"IBS_before vs UC_before"
"Veillonella __",0.002645,0.003883,0.554,0.361,0.345,0.8895,0.9874,"IBS_before vs UC_before"
"unclassified f:Gemellaceae",0.0003891,0.0005934,0.608,0.194,0.207,0.9098,0.9874,"IBS_before vs UC_before"
"Streptococcus",0.02277,0.019,-0.261,0.722,0.862,0.9102,0.9874,"IBS_before vs UC_before"
"Bacteroides uniformis",0.009272,0.008664,-0.098,0.611,0.621,0.9188,0.9874,"IBS_before vs UC_before"
"Faecalibacterium prausnitzii",0.03669,0.04367,0.251,0.75,0.828,0.926,0.9874,"IBS_before vs UC_before"
"Pseudomonas __",0.0006863,0.0005999,-0.194,0.167,0.172,0.9276,0.9874,"IBS_before vs UC_before"
"Akkermansia muciniphila",0.01036,0.00554,-0.903,0.611,0.655,0.9299,0.9874,"IBS_before vs UC_before"
"Megasphaera",0.005247,0.005363,0.032,0.361,0.379,0.9332,0.9874,"IBS_before vs UC_before"
"Parabacteroides distasonis",0.004872,0.008043,0.723,0.611,0.517,0.9397,0.9874,"IBS_before vs UC_before"
"unclassified f:Desulfovibrionaceae",0.0009234,0.0009873,0.096,0.361,0.31,0.9438,0.9874,"IBS_before vs UC_before"
"Actinomyces",0.006739,0.009212,0.451,0.778,0.69,0.9628,0.9996,"IBS_before vs UC_before"
"Dorea formicigenerans",0.005991,0.006832,0.19,0.583,0.517,0.9724,1,"IBS_before vs UC_before"
"Roseburia __",0.01802,0.03797,1.076,0.75,0.69,0.9894,1,"IBS_before vs UC_before"
"Lactobacillus salivarius",0.0002976,0.001531,2.359,0.111,0.103,0.9902,1,"IBS_before vs UC_before"
"Lactobacillus helveticus",0.001333,0.0134,3.328,0.222,0.207,0.9927,1,"IBS_before vs UC_before"
"unclassified f:Clostridiaceae",0.00171,0.001921,0.168,0.361,0.345,1,1,"IBS_before vs UC_before"
