feature,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2510002D24Rik,2510002D24Rik,164.5128,-0.0992,0.1373,-0.7226,0.4699,1
2510003B16Rik,2510003B16Rik,2.213,0.1548,0.9379,0.165,0.8689,1
2510009E07Rik,2510009E07Rik,1597.9274,0.2054,0.1533,1.3397,0.1803,1
2510039O18Rik,2510039O18Rik,2765.0599,-0.0418,0.0826,-0.5064,0.6126,1
2610001J05Rik,2610001J05Rik,1566.0096,0.0676,0.089,0.759,0.4478,1
2610002M06Rik,2610002M06Rik,713.5157,0.1216,0.1501,0.8099,0.418,1
2610005L07Rik,2610005L07Rik,249.8051,0.2456,0.2803,0.8764,0.3808,1
2610008E11Rik,2610008E11Rik,687.2907,0.0694,0.2393,0.2901,0.7718,1
2610015P09Rik,2610015P09Rik,202.8268,0.3271,0.231,1.4159,0.1568,1
2610016A17Rik,2610016A17Rik,1.691,-0.0988,1.1797,-0.0838,0.9332,1
2610020C07Rik,2610020C07Rik,12.5932,0.0051,0.4285,0.0119,0.9905,1
2610020H08Rik,2610020H08Rik,125.496,0.0715,0.1907,0.3748,0.7078,1
2610027K06Rik,2610027K06Rik,0.8321,2.1713,1.8169,1.1951,0.2321,1
2610028E06Rik,2610028E06Rik,0.5293,-0.4886,1.9901,-0.2455,0.8061,1
2610028H24Rik,2610028H24Rik,1.9101,0.3215,1.3105,0.2453,0.8062,1
2610035D17Rik,2610035D17Rik,23.7818,-0.0664,0.3058,-0.2171,0.8281,1
2610037D02Rik,2610037D02Rik,1.8059,0.813,1.3992,0.5811,0.5612,1
2610042L04Rik,2610042L04Rik,0.3192,0.7004,2.556,0.274,0.7841,1
2610044O15Rik8,2610044O15Rik8,208.7962,0.0247,0.1145,0.2157,0.8292,1
2610203C22Rik,2610203C22Rik,9.2041,-0.1906,0.5607,-0.34,0.7339,1
2610206C17Rik,2610206C17Rik,10.5305,0.0267,0.4893,0.0545,0.9565,1
2610301B20Rik,2610301B20Rik,1229.6306,0.0711,0.0793,0.8966,0.3699,1
2610305D13Rik,2610305D13Rik,0.3175,-0.6833,2.5592,-0.267,0.7895,1
2610306M01Rik,2610306M01Rik,77.1375,0.0673,0.1663,0.4044,0.6859,1
2610307P16Rik,2610307P16Rik,92.4208,0.0919,0.1888,0.4867,0.6264,1
2610316D01Rik,2610316D01Rik,20.649,0.1638,0.368,0.4451,0.6563,1
2610318N02Rik,2610318N02Rik,38.9609,-0.2523,0.2784,-0.9063,0.3648,1
2610507B11Rik,2610507B11Rik,7896.9216,-0.0679,0.0756,-0.8985,0.3689,1
2610507I01Rik,2610507I01Rik,11.2474,0.6934,0.8302,0.8352,0.4036,1
2610524H06Rik,2610524H06Rik,168.3412,0.0279,0.1532,0.1821,0.8555,1
2610528A11Rik,2610528A11Rik,224.518,0.4399,0.5961,0.7379,0.4605,1
2700029M09Rik,2700029M09Rik,1156.5653,-0.0009,0.1369,-0.0068,0.9945,1
2700038G22Rik,2700038G22Rik,45.1242,0.377,0.3411,1.1052,0.2691,1
2700046G09Rik,2700046G09Rik,16.5014,0.4356,0.3629,1.2003,0.23,1
2700049A03Rik,2700049A03Rik,513.2361,0.17,0.2003,0.849,0.3959,1
2700054A10Rik,2700054A10Rik,32.4375,-0.0603,0.2912,-0.207,0.836,1
2700060E02Rik,2700060E02Rik,5623.9361,-0.0149,0.0815,-0.1827,0.8551,1
2700062C07Rik,2700062C07Rik,444.2178,0.0836,0.1044,0.8011,0.4231,1
2700069I18Rik,2700069I18Rik,14.3777,-0.2785,0.4548,-0.6123,0.5403,1
2700070H01Rik,2700070H01Rik,18.294,-0.5823,0.3736,-1.5589,0.119,1
2700081O15Rik,2700081O15Rik,1724.4038,-0.0843,0.0653,-1.2924,0.1962,1
2700094K13Rik,2700094K13Rik,524.0026,-0.1301,0.1159,-1.1228,0.2615,1
2700097O09Rik,2700097O09Rik,183.9023,0.0341,0.1307,0.2609,0.7942,1
2700099C18Rik,2700099C18Rik,167.6482,-0.0087,0.2659,-0.0327,0.9739,1
2810001G20Rik,2810001G20Rik,73.1217,-0.0224,0.1977,-0.1136,0.9096,1
2810002D19Rik,2810002D19Rik,99.4683,0.0387,0.1444,0.2679,0.7888,1
2810004N23Rik,2810004N23Rik,1048.2047,0.0248,0.0776,0.3191,0.7496,1
2810006K23Rik,2810006K23Rik,523.1159,0.013,0.0843,0.1539,0.8777,1
2810013P06Rik,2810013P06Rik,131.6299,0.383,0.2632,1.455,0.1457,1
2810021J22Rik,2810021J22Rik,300.297,0.1472,0.1137,1.2949,0.1954,1
2810025M15Rik,2810025M15Rik,1449.0957,-0.1437,0.1001,-1.4352,0.1512,1
