feature,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
4732471J01Rik,4732471J01Rik,9.9266,0.0154,0.486,0.0317,0.9747,
4732491K20Rik,4732491K20Rik,51.646,-0.1447,0.2284,-0.6335,0.5264,0.9565
4831440E17Rik,4831440E17Rik,14.1183,0.2649,0.5358,0.4943,0.6211,
4833415N18Rik,4833415N18Rik,85.9663,-0.3198,0.257,-1.2441,0.2135,0.8877
4833417C18Rik,4833417C18Rik,9.9214,0.524,0.4565,1.148,0.251,
4833418N02Rik,4833418N02Rik,60.0005,-0.0901,0.1854,-0.4861,0.6269,0.9673
4833419F23Rik,4833419F23Rik,15.5127,-0.1904,0.379,-0.5024,0.6154,
4833420G17Rik,4833420G17Rik,314.5469,0.0666,0.0893,0.7456,0.4559,0.9483
4833422C13Rik,4833422C13Rik,26.0028,-0.2473,0.409,-0.6045,0.5455,0.9571
4833427F10Rik,4833427F10Rik,0.4814,-0.9492,2.3281,-0.4077,0.6835,
4833427G06Rik,4833427G06Rik,89.0383,-0.0146,0.1789,-0.0816,0.9349,0.9966
4833439L19Rik,4833439L19Rik,5932.1087,-0.0578,0.0561,-1.0296,0.3032,0.9164
4921507L20Rik,4921507L20Rik,26.8416,0.8792,0.299,2.9404,0.0033,0.3452
4921507P07Rik,4921507P07Rik,0.7658,-0.7776,1.6947,-0.4589,0.6463,
4921509O07Rik,4921509O07Rik,0.2934,-1.6605,2.5532,-0.6504,0.5154,
4921511C10Rik,4921511C10Rik,2.0063,0.069,1.025,0.0673,0.9464,
4921513I03Rik,4921513I03Rik,2.6879,0.8916,0.9468,0.9417,0.3463,
4921524J17Rik,4921524J17Rik,1360.7019,0.1191,0.089,1.3375,0.1811,0.8703
4921525O09Rik,4921525O09Rik,84.3816,-0.1264,0.1784,-0.7083,0.4788,0.9498
4921531C22Rik,4921531C22Rik,37.6226,-0.0011,0.2283,-0.0047,0.9963,0.9995
4921536K21Rik,4921536K21Rik,50.4904,0.0261,0.2106,0.124,0.9013,0.9934
4930402H24Rik,4930402H24Rik,1113.0859,0.0511,0.0657,0.777,0.4372,0.9455
4930404H11Rik,4930404H11Rik,1.9335,-0.9945,1.0621,-0.9364,0.3491,
4930404I05Rik,4930404I05Rik,11.4437,-0.0932,0.4338,-0.2149,0.8299,
4930404N11Rik,4930404N11Rik,372.614,-0.0197,0.1467,-0.134,0.8934,0.9922
4930405A21Rik,4930405A21Rik,10.108,-0.1905,0.489,-0.3897,0.6968,
4930405O22Rik,4930405O22Rik,1.0595,-1.5337,1.4323,-1.0708,0.2843,
4930407I10Rik,4930407I10Rik,2.1882,1.8565,1.2535,1.481,0.1386,
4930412B13Rik,4930412B13Rik,0.853,2.3874,2.1148,1.1289,0.259,
4930412C18Rik,4930412C18Rik,2.1984,0.6182,0.9878,0.6258,0.5314,
4930413G21Rik,4930413G21Rik,104.2629,0.0354,0.1576,0.2246,0.8223,0.9893
4930414N06Rik,4930414N06Rik,0.6718,0.7111,1.7761,0.4004,0.6889,
4930415O20Rik,4930415O20Rik,12.0144,-0.3294,0.4197,-0.7847,0.4326,
4930417O13Rik,4930417O13Rik,1.0591,0.6299,1.4081,0.4473,0.6546,
4930426L09Rik,4930426L09Rik,22.5627,-0.0679,0.3566,-0.1904,0.849,0.9906
4930427A07Rik,4930427A07Rik,513.1883,-0.101,0.1852,-0.5453,0.5856,0.964
4930429B21Rik,4930429B21Rik,28.8151,-0.2798,0.3389,-0.8256,0.409,0.9377
4930429D17Rik,4930429D17Rik,0.3849,0.9682,2.4701,0.392,0.6951,
4930429F24Rik,4930429F24Rik,53.9253,0.004,0.3115,0.0128,0.9898,0.9993
4930430F08Rik,4930430F08Rik,314.5574,0.1406,0.1339,1.0503,0.2936,0.911
4930432K21Rik,4930432K21Rik,36.6679,-0.0813,0.2343,-0.3469,0.7286,0.9796
4930443O20Rik,4930443O20Rik,4.8181,0.6062,0.6468,0.9373,0.3486,
4930444P10Rik,4930444P10Rik,0.7578,3.0888,1.7974,1.7184,0.0857,
4930445N18Rik,4930445N18Rik,1.5368,1.9566,1.3856,1.412,0.1579,
4930447C04Rik,4930447C04Rik,2.6037,0.3565,0.975,0.3657,0.7146,
4930447F24Rik,4930447F24Rik,112.1657,-0.6882,0.2642,-2.6045,0.0092,0.4763
4930451G09Rik,4930451G09Rik,17.5682,-0.223,0.4012,-0.5559,0.5783,
4930452B06Rik,4930452B06Rik,10.4281,-0.3958,0.6053,-0.654,0.5131,
4930453N24Rik,4930453N24Rik,850.9226,-0.0522,0.1119,-0.4659,0.6413,0.9684
4930455C13Rik,4930455C13Rik,3.1711,-0.8681,0.8477,-1.0241,0.3058,
4930461G14Rik,4930461G14Rik,1.7252,0.9435,1.0852,0.8695,0.3846,
4930465K10Rik,4930465K10Rik,2.4084,-0.3527,1.069,-0.3299,0.7415,
4930467D21Rik,4930467D21Rik,1.1522,-3.4663,1.5903,-2.1797,0.0293,
4930473A02Rik,4930473A02Rik,8.0702,0.2715,0.5397,0.5031,0.6149,
4930474M22Rik,4930474M22Rik,2.7951,1.1288,1.1457,0.9853,0.3245,
4930474N09Rik,4930474N09Rik,0.3853,0.9701,2.47,0.3928,0.6945,
4930479D17Rik,4930479D17Rik,1.6343,-0.6849,1.264,-0.5419,0.5879,
4930480K23Rik,4930480K23Rik,21.9934,-0.0114,0.2947,-0.0386,0.9692,0.9974
4930481A15Rik,4930481A15Rik,0.7834,0.7638,1.7699,0.4316,0.6661,
4930483J18Rik,4930483J18Rik,1.2469,-0.0834,1.4085,-0.0592,0.9528,
4930483K19Rik,4930483K19Rik,0.5713,0.4428,2.0612,0.2148,0.8299,
4930483O08Rik,4930483O08Rik,0.6796,-0.9117,2.2662,-0.4023,0.6875,
4930486L24Rik,4930486L24Rik,30.5228,0.7078,0.2669,2.6524,0.008,0.4472
4930487H11Rik,4930487H11Rik,7.2209,1.7659,0.6203,2.8468,0.0044,
4930503B20Rik,4930503B20Rik,1.2497,1.5121,1.3303,1.1367,0.2557,
4930503L19Rik,4930503L19Rik,295.1949,0.0089,0.1678,0.0528,0.9579,0.9974
4930505A04Rik,4930505A04Rik,2.2202,-0.0183,0.916,-0.02,0.9841,
4930506C21Rik,4930506C21Rik,8.5722,-0.371,0.4815,-0.7705,0.441,
4930507D05Rik,4930507D05Rik,4.1275,-0.0098,0.6994,-0.014,0.9888,
4930509E16Rik,4930509E16Rik,0.5793,-1.5064,1.948,-0.7733,0.4393,
4930511M06Rik,4930511M06Rik,3.1614,-0.1211,0.9374,-0.1292,0.8972,
4930512B01Rik,4930512B01Rik,1.5393,-0.3351,1.3939,-0.2404,0.81,
4930513N10Rik,4930513N10Rik,22.2292,-0.0151,0.322,-0.0469,0.9626,0.9974
4930515B02Rik,4930515B02Rik,1.1491,1.1437,1.3815,0.8279,0.4077,
4930515G01Rik,4930515G01Rik,25.9189,0.0756,0.345,0.2192,0.8265,0.9905
4930519G04Rik,4930519G04Rik,0.4831,-2.244,2.2833,-0.9828,0.3257,
4930520O04Rik,4930520O04Rik,18.6434,0.4748,0.3811,1.2461,0.2127,
4930521E06Rik,4930521E06Rik,0.2938,-0.4606,2.6291,-0.1752,0.8609,
4930523C07Rik,4930523C07Rik,180.4519,0.1073,0.1115,0.9618,0.3361,0.9212
4930525G20Rik,4930525G20Rik,0.4823,-2.2296,1.9591,-1.1381,0.2551,
4930526I15Rik,4930526I15Rik,159.7133,-0.0774,0.1532,-0.5054,0.6133,0.966
4930528A17Rik,4930528A17Rik,6.7601,-0.507,0.5783,-0.8768,0.3806,
4930538K18Rik,4930538K18Rik,11.4275,0.2353,0.4328,0.5437,0.5867,
4930539J05Rik,4930539J05Rik,48.4068,0.3187,0.266,1.1983,0.2308,0.8923
4930543E12Rik,4930543E12Rik,0.669,-1.4942,1.7232,-0.8671,0.3859,
4930544D05Rik,4930544D05Rik,0.4814,-1.1304,2.0481,-0.5519,0.581,
4930544M13Rik,4930544M13Rik,1.3572,0.7303,1.2476,0.5854,0.5583,
4930546K05Rik,4930546K05Rik,0.3902,-0.9393,2.4486,-0.3836,0.7013,
4930547E08Rik,4930547E08Rik,0.6691,2.9604,1.7994,1.6452,0.0999,
4930549G23Rik,4930549G23Rik,5.2844,-0.7706,0.7505,-1.0268,0.3045,
4930550C14Rik,4930550C14Rik,1.3611,-0.6627,1.4878,-0.4455,0.656,
4930550L24Rik,4930550L24Rik,70.6215,-0.0596,0.2344,-0.2541,0.7994,0.9871
4930552P12Rik,4930552P12Rik,1.14,0.3615,1.4843,0.2435,0.8076,
4930556M19Rik,4930556M19Rik,59.662,0.2221,0.23,0.9654,0.3343,0.9207
4930557K07Rik,4930557K07Rik,13.9659,0.1598,0.4079,0.3917,0.6953,
4930558C23Rik,4930558C23Rik,1.1639,-0.0445,1.2775,-0.0348,0.9722,
4930558J18Rik,4930558J18Rik,22.3346,-0.5048,0.4095,-1.2325,0.2178,0.8877
4930562C15Rik,4930562C15Rik,2.009,1.2747,1.0532,1.2103,0.2262,
4930562F07Rik,4930562F07Rik,2.7013,0.516,0.8305,0.6214,0.5344,
4930563E22Rik,4930563E22Rik,30.9944,0.1938,0.3287,0.5896,0.5554,0.9573
4930565N06Rik,4930565N06Rik,3.5042,-0.7395,0.9219,-0.8021,0.4225,
4930570G19Rik,4930570G19Rik,2.0408,-0.9312,1.0107,-0.9214,0.3568,
4930577N17Rik,4930577N17Rik,22.3033,0.4098,0.3076,1.3322,0.1828,0.8711
4930578M01Rik,4930578M01Rik,6.5483,-0.1736,0.5532,-0.3138,0.7536,
4930579G18Rik,4930579G18Rik,156.5937,0.3353,0.1676,2.0012,0.0454,0.7227
4930579G24Rik,4930579G24Rik,394.6594,-0.1672,0.1662,-1.0058,0.3145,0.9173
4930579K19Rik,4930579K19Rik,6.2823,-0.1546,0.588,-0.263,0.7926,
4930579P08Rik,4930579P08Rik,1.2451,-0.0548,1.5137,-0.0362,0.9711,
4930581F22Rik,4930581F22Rik,39.219,0.6122,0.2783,2.1996,0.0278,0.6379
4930590J08Rik,4930590J08Rik,3.4506,1.2699,0.7683,1.6528,0.0984,
4930592A05Rik,4930592A05Rik,1.3384,0.3052,1.2807,0.2383,0.8116,
4930593A02Rik,4930593A02Rik,1.9322,0.4491,1.0498,0.4278,0.6688,
4930595D18Rik,4930595D18Rik,1.0626,0.0675,1.5288,0.0442,0.9648,
4930599N23Rik,4930599N23Rik,1.8381,0.9863,1.0848,0.9092,0.3633,
4931402G19Rik,4931402G19Rik,2.0991,1.3277,1.0739,1.2363,0.2163,
4931403E22Rik,4931403E22Rik,1.8253,0.9026,1.0641,0.8482,0.3963,
4931403G20Rik,4931403G20Rik,3.6672,-0.5018,0.7913,-0.6341,0.526,
4931406C07Rik,4931406C07Rik,1573.1747,-0.0078,0.0582,-0.1337,0.8937,0.9923
4931406H21Rik,4931406H21Rik,0.8642,3.3684,1.6525,2.0383,0.0415,
4931406P16Rik,4931406P16Rik,2184.682,0.0842,0.1254,0.6713,0.502,0.9515
4931408D14Rik,4931408D14Rik,4.5932,0.6853,0.7047,0.9726,0.3308,
4931414P19Rik,4931414P19Rik,369.1478,0.0269,0.0943,0.2851,0.7755,0.985
4931428F04Rik,4931428F04Rik,264.6219,-0.2056,0.131,-1.5693,0.1166,0.8127
4931429L15Rik,4931429L15Rik,0.4798,2.5273,2.2358,1.1304,0.2583,
4931431C16Rik,4931431C16Rik,7.5016,-0.383,0.5545,-0.6908,0.4897,
4931440F15Rik,4931440F15Rik,2.0289,1.5708,1.0448,1.5034,0.1327,
4931440J10Rik,4931440J10Rik,0.481,-2.2385,2.2842,-0.98,0.3271,
4931440P22Rik,4931440P22Rik,10.0022,0.2775,0.5057,0.5487,0.5832,
4932415M13Rik,4932415M13Rik,0.2941,0.8438,2.6255,0.3214,0.7479,
4932416H05Rik,4932416H05Rik,102.0398,0.2483,0.1525,1.6287,0.1034,0.7971
4932418E24Rik,4932418E24Rik,1.0639,0.094,1.7073,0.055,0.9561,
4932438A13Rik,4932438A13Rik,1163.364,0.0152,0.209,0.0728,0.9419,0.9971
4932438H23Rik,4932438H23Rik,0.9629,-0.2523,1.7955,-0.1405,0.8882,
4932441J04Rik,4932441J04Rik,7.2146,0.2297,0.5095,0.451,0.652,
4932443I19Rik,4932443I19Rik,0.4888,1.6111,2.2503,0.716,0.474,
4933400C23Rik,4933400C23Rik,0.3916,1.2541,2.4276,0.5166,0.6055,
4933402D24Rik,4933402D24Rik,6.3393,-0.8157,0.6293,-1.2962,0.1949,
4933402E13Rik,4933402E13Rik,0.3909,1.254,2.4288,0.5163,0.6056,
4933402J07Rik,4933402J07Rik,0.7762,0.6228,1.6285,0.3824,0.7021,
4933404O12Rik,4933404O12Rik,588.9726,-0.0991,0.1048,-0.9452,0.3445,0.9246
4933405D12Rik,4933405D12Rik,1.3461,-0.0351,1.2605,-0.0278,0.9778,
4933405E24Rik,4933405E24Rik,0.3829,-0.4613,2.4628,-0.1873,0.8514,
4933405L10Rik,4933405L10Rik,2.633,0.0305,1.0087,0.0302,0.9759,
4933406C10Rik,4933406C10Rik,9.3316,-0.0904,0.6048,-0.1495,0.8812,
4933406G16Rik,4933406G16Rik,0.8675,-0.2591,1.5192,-0.1706,0.8646,
4933406I18Rik,4933406I18Rik,1.8233,-1.0054,1.1235,-0.8949,0.3709,
4933407K13Rik,4933407K13Rik,79.1713,0.3625,0.225,1.6107,0.1072,0.8026
4933408B17Rik,4933408B17Rik,5.3925,0.8219,0.7333,1.1209,0.2623,
4933408J17Rik,4933408J17Rik,0.57,-1.1464,2.2893,-0.5008,0.6165,
4933411K16Rik,4933411K16Rik,12.0541,0.4149,0.4174,0.9939,0.3203,
4933412E12Rik,4933412E12Rik,248.6812,-0.0706,0.1158,-0.6097,0.5421,0.9571
4933413G19Rik,4933413G19Rik,0.9551,-0.1161,1.516,-0.0766,0.939,
4933413J09Rik,4933413J09Rik,7.8109,0.0825,0.494,0.167,0.8673,
4933416M07Rik,4933416M07Rik,0.4831,0.2636,2.062,0.1278,0.8983,
4933417D19Rik,4933417D19Rik,4.2501,-0.6762,0.6791,-0.9957,0.3194,
4933417E11Rik,4933417E11Rik,5.7931,-0.4627,0.5685,-0.8139,0.4157,
4933421O10Rik,4933421O10Rik,89.0592,0.3275,0.3041,1.0769,0.2815,0.9074
4933422A05Rik,4933422A05Rik,1.346,0.9535,1.2171,0.7835,0.4333,
4933424G06Rik,4933424G06Rik,2.2988,-0.371,0.9455,-0.3924,0.6948,
4933425B07Rik,4933425B07Rik,0.7725,0.6239,1.6288,0.383,0.7017,
4933427D14Rik,4933427D14Rik,436.5966,0.104,0.1014,1.025,0.3054,0.9164
4933427E11Rik,4933427E11Rik,7.0169,0.542,0.5472,0.9904,0.322,
4933427G17Rik,4933427G17Rik,3.0879,0.1905,0.8088,0.2355,0.8138,
4933428G20Rik,4933428G20Rik,13.0693,0.1545,0.5105,0.3026,0.7622,
4933430H16Rik,4933430H16Rik,0.5852,0.1001,1.9337,0.0518,0.9587,
4933430I17Rik,4933430I17Rik,22.4881,-0.0046,0.317,-0.0145,0.9884,0.9993
4933431E20Rik,4933431E20Rik,247.3803,0.2164,0.1491,1.4519,0.1465,0.8425
4933431G14Rik,4933431G14Rik,1.3532,-0.1668,1.2732,-0.131,0.8958,
4933433C11Rik,4933433C11Rik,1.2472,0.7525,1.2722,0.5915,0.5542,
4933433G15Rik,4933433G15Rik,3.5436,1.0967,0.8182,1.3404,0.1801,
4933433G19Rik,4933433G19Rik,3.3494,-0.0882,0.8489,-0.104,0.9172,
4933433H22Rik,4933433H22Rik,7.1244,-0.7238,0.5679,-1.2746,0.2025,
4933434E20Rik,4933434E20Rik,1771.072,-0.0826,0.0745,-1.1095,0.2672,0.8995
4933438K21Rik,4933438K21Rik,0.6646,1.6848,2.2297,0.7556,0.4499,
4933439C10Rik,4933439C10Rik,43.7455,0.1391,0.2954,0.471,0.6377,0.9681
4933440M02Rik,4933440M02Rik,2.5067,-2.5662,1.218,-2.1069,0.0351,
5031410I06Rik,5031410I06Rik,0.5735,0.2005,2.0296,0.0988,0.9213,
5031414D18Rik,5031414D18Rik,63.6019,0.2928,0.2048,1.4297,0.1528,0.8495
5031425E22Rik,5031425E22Rik,148.043,0.2441,0.167,1.462,0.1437,0.8413
5031425F14Rik,5031425F14Rik,3.4416,0.8345,1.0082,0.8278,0.4078,
5031426D15Rik,5031426D15Rik,2.1238,0.2254,0.9865,0.2285,0.8193,
5031434C07Rik,5031434C07Rik,1.249,0.7584,1.1998,0.6322,0.5273,
5031434O11Rik,5031434O11Rik,5.7828,1.0273,0.652,1.5757,0.1151,
5031439G07Rik,5031439G07Rik,3563.9947,-0.0863,0.0695,-1.2411,0.2146,0.8877
