feature,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
0610005C13Rik,0610005C13Rik,6.6323,-1.2125,0.6996,-1.7331,0.0831,0.9995
0610007P14Rik,0610007P14Rik,1298.2422,0.006,0.0619,0.0978,0.9221,0.9995
0610009B22Rik,0610009B22Rik,980.9124,0.1345,0.1091,1.2332,0.2175,0.9995
0610009L18Rik,0610009L18Rik,42.8815,0.2748,0.2993,0.9182,0.3585,0.9995
0610009O20Rik,0610009O20Rik,1289.55,0.0419,0.0671,0.6241,0.5325,0.9995
0610010F05Rik,0610010F05Rik,914.1547,-0.0222,0.1634,-0.1359,0.8919,0.9995
0610010K14Rik,0610010K14Rik,1001.792,-0.0396,0.0806,-0.4917,0.6229,0.9995
0610011F06Rik,0610011F06Rik,389.1731,0.1601,0.0906,1.7662,0.0774,0.9995
0610012G03Rik,0610012G03Rik,423.2099,0.1082,0.1059,1.0217,0.3069,0.9995
0610030E20Rik,0610030E20Rik,987.4684,0.0798,0.1162,0.6871,0.492,0.9995
0610037L13Rik,0610037L13Rik,1070.8498,0.102,0.0792,1.2885,0.1976,0.9995
0610038B21Rik,0610038B21Rik,9.9373,-0.0977,0.492,-0.1987,0.8425,0.9995
0610039K10Rik,0610039K10Rik,0.8009,0.2798,1.7329,0.1614,0.8718,0.9995
0610040B10Rik,0610040B10Rik,23.8059,0.1281,0.4263,0.3005,0.7638,0.9995
0610040J01Rik,0610040J01Rik,3.5663,-1.0256,1.6089,-0.6374,0.5238,0.9995
0610043K17Rik,0610043K17Rik,3.1987,-0.0983,0.8399,-0.117,0.9068,0.9995
1010001N08Rik,1010001N08Rik,1.3724,1.6484,1.569,1.0506,0.2935,0.9995
1110001J03Rik,1110001J03Rik,128.645,0.153,0.1436,1.065,0.2869,0.9995
1110002L01Rik,1110002L01Rik,70.8205,-0.0525,0.2473,-0.2123,0.8319,0.9995
1110004E09Rik,1110004E09Rik,705.258,0.016,0.1189,0.1348,0.8927,0.9995
1110004F10Rik,1110004F10Rik,2875.3803,0.1229,0.0846,1.4519,0.1465,0.9995
1110006O24Rik,1110006O24Rik,10.498,0.5195,0.483,1.0756,0.2821,0.9995
1110007C09Rik,1110007C09Rik,1575.0854,0.0718,0.135,0.5315,0.5951,0.9995
1110008F13Rik,1110008F13Rik,1349.2707,0.1748,0.1691,1.0336,0.3013,0.9995
1110008L16Rik,1110008L16Rik,678.5899,-0.0307,0.071,-0.4331,0.665,0.9995
1110008P14Rik,1110008P14Rik,834.9207,0.1001,0.1054,0.9498,0.3422,0.9995
1110012L19Rik,1110012L19Rik,985.7683,0.1414,0.1656,0.8536,0.3933,0.9995
1110017D15Rik,1110017D15Rik,5.2528,0.2908,0.6569,0.4427,0.658,0.9995
1110019D14Rik,1110019D14Rik,112.189,-0.0881,0.2445,-0.3601,0.7187,0.9995
1110020A21Rik,1110020A21Rik,15.5327,0.0252,0.4002,0.063,0.9498,0.9995
1110032A03Rik,1110032A03Rik,315.9448,0.1941,0.1401,1.3855,0.1659,0.9995
1110034G24Rik,1110034G24Rik,176.8538,-0.0233,0.1624,-0.1433,0.8861,0.9995
1110037F02Rik,1110037F02Rik,3217.169,-0.1518,0.1149,-1.3209,0.1865,0.9995
1110038B12Rik,1110038B12Rik,2234.282,0.1267,0.1899,0.6673,0.5046,0.9995
1110038F14Rik,1110038F14Rik,1014.2229,0.0545,0.083,0.6559,0.5119,0.9995
1110046J04Rik,1110046J04Rik,206.5658,0.1537,0.2182,0.7047,0.481,0.9995
1110051M20Rik,1110051M20Rik,1479.9245,-0.0236,0.078,-0.3023,0.7624,0.9995
1110059E24Rik,1110059E24Rik,1073.7205,-0.032,0.0912,-0.3501,0.7262,0.9995
1110059G10Rik,1110059G10Rik,628.7918,0.0159,0.1221,0.1306,0.8961,0.9995
1110065P20Rik,1110065P20Rik,314.6052,0.1975,0.1541,1.2816,0.2,0.9995
1190002F15Rik,1190002F15Rik,66.423,0.1643,0.2626,0.6258,0.5314,0.9995
1190002N15Rik,1190002N15Rik,5331.9699,-0.1265,0.2182,-0.5797,0.5621,0.9995
1190005I06Rik,1190005I06Rik,4.5658,0.2283,0.6868,0.3325,0.7395,0.9995
1190007I07Rik,1190007I07Rik,79.5146,0.1675,0.2024,0.8276,0.4079,0.9995
1200014J11Rik,1200014J11Rik,1759.4369,-0.095,0.0848,-1.1194,0.263,0.9995
1300002E11Rik,1300002E11Rik,283.1235,-0.0332,0.1667,-0.1989,0.8423,0.9995
1300017J02Rik,1300017J02Rik,2.7323,0.3295,0.9442,0.3489,0.7271,0.9995
1500004A13Rik,1500004A13Rik,84.4345,0.2034,0.2091,0.9729,0.3306,0.9995
1500009C09Rik,1500009C09Rik,0.6876,-0.7834,1.7377,-0.4509,0.6521,0.9995
1500009L16Rik,1500009L16Rik,14.4055,-0.0076,0.4079,-0.0186,0.9852,0.9995
1500011B03Rik,1500011B03Rik,325.1304,0.1935,0.2316,0.8354,0.4035,0.9995
1500011K16Rik,1500011K16Rik,475.4428,0.111,0.1246,0.8908,0.3731,0.9995
1500012F01Rik,1500012F01Rik,2064.9929,0.1846,0.2085,0.8852,0.376,0.9995
1500012K07Rik,1500012K07Rik,2.7468,-0.37,0.9281,-0.3986,0.6902,0.9995
1500015A07Rik,1500015A07Rik,62.7443,0.4813,0.4451,1.0813,0.2796,0.9995
1500015O10Rik,1500015O10Rik,18.97,0.2049,0.6972,0.2939,0.7688,0.9995
1500017E21Rik,1500017E21Rik,96.6496,-0.1761,0.2095,-0.8407,0.4005,0.9995
1500026H17Rik,1500026H17Rik,1.7173,0.5927,1.4824,0.3999,0.6893,0.9995
1600002H07Rik,1600002H07Rik,319.9924,0.0616,0.1167,0.5277,0.5977,0.9995
1600002K03Rik,1600002K03Rik,236.6074,0.2495,0.2012,1.2401,0.215,0.9995
1600012H06Rik,1600012H06Rik,1777.5907,0.0432,0.0768,0.5626,0.5737,0.9995
1600014C10Rik,1600014C10Rik,779.989,0.019,0.1455,0.1305,0.8962,0.9995
1600014C23Rik,1600014C23Rik,1.4868,-1.037,1.2667,-0.8186,0.413,0.9995
1600020E01Rik,1600020E01Rik,222.2021,0.2999,0.2183,1.3742,0.1694,0.9995
1600023N17Rik,1600023N17Rik,3.4196,1.4139,0.9448,1.4965,0.1345,0.9995
1600027J07Rik,1600027J07Rik,4.9196,1.4349,0.8496,1.6889,0.0912,0.9995
1600029O15Rik,1600029O15Rik,0.6814,-0.2947,2.0292,-0.1452,0.8845,0.9995
1700001C19Rik,1700001C19Rik,0.8007,-2.0586,1.8117,-1.1363,0.2558,0.9995
1700001G11Rik,1700001G11Rik,5.8337,-0.0548,0.5708,-0.096,0.9235,0.9995
1700001G17Rik,1700001G17Rik,5.5994,-0.2716,0.7091,-0.383,0.7017,0.9995
1700001K19Rik,1700001K19Rik,7.4277,0.7395,0.7092,1.0427,0.2971,0.9995
1700001K23Rik,1700001K23Rik,2.2848,0.0218,0.9402,0.0232,0.9815,0.9995
1700001L05Rik,1700001L05Rik,57.5017,-0.5396,0.2322,-2.3236,0.0201,0.9995
1700001L19Rik,1700001L19Rik,3.7695,-0.0917,0.7351,-0.1248,0.9007,0.9995
1700001O22Rik,1700001O22Rik,10.6441,-0.5558,0.4619,-1.2033,0.2289,0.9995
1700001P01Rik,1700001P01Rik,2.9652,0.8121,0.8834,0.9193,0.358,0.9995
1700003E16Rik,1700003E16Rik,117.0133,-0.001,0.1737,-0.006,0.9953,0.9995
1700003F12Rik,1700003F12Rik,90.6806,-0.0916,0.2232,-0.4106,0.6814,0.9995
1700003G18Rik,1700003G18Rik,0.8003,0.2838,1.7329,0.1638,0.8699,0.9995
1700003M02Rik,1700003M02Rik,3.9959,0.4308,0.794,0.5426,0.5874,0.9995
1700003M07Rik,1700003M07Rik,0.6849,0.8936,2.0444,0.4371,0.662,0.9995
1700006H21Rik,1700006H21Rik,0.4591,0.2194,2.5698,0.0854,0.9319,0.9995
1700007G11Rik,1700007G11Rik,4.5713,-0.7319,0.7231,-1.0122,0.3115,0.9995
1700007J10Rik,1700007J10Rik,26.3734,0.3906,0.4788,0.8157,0.4147,0.9995
1700007K09Rik,1700007K09Rik,0.5687,-1.0589,2.0113,-0.5265,0.5986,0.9995
1700007K13Rik,1700007K13Rik,14.7363,0.3075,0.3966,0.7753,0.4382,0.9995
1700007L15Rik,1700007L15Rik,37.5842,0.201,0.2381,0.8441,0.3986,0.9995
1700008J07Rik,1700008J07Rik,18.9382,0.5378,0.4164,1.2917,0.1965,0.9995
1700008O03Rik,1700008O03Rik,0.6858,-1.7967,1.9021,-0.9446,0.3449,0.9995
1700009N14Rik,1700009N14Rik,5.83,-0.1325,0.6387,-0.2074,0.8357,0.9995
1700010D01Rik,1700010D01Rik,0.4591,0.2185,2.5699,0.085,0.9323,0.9995
1700011A15Rik,1700011A15Rik,0.4594,-2.2007,2.4285,-0.9062,0.3648,0.9995
1700011E24Rik,1700011E24Rik,0.5744,0.709,2.0545,0.3451,0.73,0.9995
1700011I03Rik,1700011I03Rik,4.5761,-0.377,0.7444,-0.5065,0.6125,0.9995
1700012B07Rik,1700012B07Rik,2.2798,-0.9067,1.2332,-0.7352,0.4622,0.9995
1700012B09Rik,1700012B09Rik,107.4261,0.1801,0.3312,0.5438,0.5866,0.9995
