feature,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
4933413J09Rik,4933413J09Rik,10.8804,-0.6914,0.4439,-1.5574,0.1194,0.7753
4933417D19Rik,4933417D19Rik,5.2365,-0.3266,0.652,-0.5009,0.6164,0.9427
4933417E11Rik,4933417E11Rik,10.9042,0.3701,0.421,0.879,0.3794,0.8935
4933421O10Rik,4933421O10Rik,104.1628,-0.0171,0.2811,-0.0607,0.9516,0.994
4933422A05Rik,4933422A05Rik,0.5285,0.4997,1.9758,0.2529,0.8003,0.9719
4933424G06Rik,4933424G06Rik,4.4034,0.5173,0.6843,0.756,0.4497,0.912
4933425B07Rik,4933425B07Rik,0.5197,-1.3564,1.9907,-0.6814,0.4956,0.9181
4933427D14Rik,4933427D14Rik,502.2226,-0.0477,0.1228,-0.3881,0.6979,0.9633
4933427E11Rik,4933427E11Rik,4.0955,-0.0211,0.6972,-0.0303,0.9758,0.9992
4933427G17Rik,4933427G17Rik,2.7357,0.842,0.8421,0.9999,0.3173,0.8702
4933428G20Rik,4933428G20Rik,14.5843,-0.4776,0.4037,-1.1829,0.2368,0.8369
4933430I17Rik,4933430I17Rik,20.1286,-0.2312,0.3894,-0.5936,0.5528,0.929
4933431E20Rik,4933431E20Rik,265.4104,0.1493,0.1368,1.0914,0.2751,0.8588
4933431G14Rik,4933431G14Rik,1.6854,0.2316,1.5534,0.1491,0.8815,0.9824
4933432I09Rik,4933432I09Rik,1.1476,1.7452,1.4129,1.2352,0.2168,0.8288
4933433C11Rik,4933433C11Rik,0.3167,-1.8894,2.4847,-0.7604,0.447,0.912
4933433G15Rik,4933433G15Rik,3.5563,0.5152,0.7945,0.6485,0.5167,0.9209
4933433G19Rik,4933433G19Rik,4.0772,-0.3135,0.6887,-0.4552,0.649,0.9539
4933433H22Rik,4933433H22Rik,7.0115,0.4132,0.5751,0.7186,0.4724,0.9168
4933434E20Rik,4933434E20Rik,2165.9861,0.2072,0.0986,2.1007,0.0357,0.732
4933438K21Rik,4933438K21Rik,0.6285,1.7451,1.902,0.9175,0.3589,0.8861
4933439C10Rik,4933439C10Rik,42.1039,0.1231,0.2705,0.4551,0.649,0.9539
4933440M02Rik,4933440M02Rik,2.4847,-0.104,1.3203,-0.0787,0.9372,0.9923
5031414D18Rik,5031414D18Rik,61.333,0.2397,0.2991,0.8016,0.4228,0.906
5031425E22Rik,5031425E22Rik,168.8779,0.0824,0.1514,0.5444,0.5862,0.9355
5031425F14Rik,5031425F14Rik,1.1545,1.1828,1.5436,0.7663,0.4435,0.9118
5031426D15Rik,5031426D15Rik,3.4474,-0.9092,0.8324,-1.0922,0.2747,0.8588
5031434C07Rik,5031434C07Rik,1.577,-0.4813,1.2421,-0.3875,0.6984,0.9635
5031434O11Rik,5031434O11Rik,6.8111,0.9451,0.7184,1.3155,0.1883,0.8161
5031439G07Rik,5031439G07Rik,3766.3488,0.1495,0.0954,1.567,0.1171,0.7753
5033403F01Rik,5033403F01Rik,6.2661,-0.2341,0.6276,-0.373,0.7092,0.9661
5033406O09Rik,5033406O09Rik,3.2397,0.2509,0.7905,0.3174,0.7509,0.9694
5330411J11Rik,5330411J11Rik,3.2394,-0.6662,0.8371,-0.7959,0.4261,0.9068
5330417C22Rik,5330417C22Rik,1.2653,0.0021,1.6533,0.0013,0.999,1
5330426P16Rik,5330426P16Rik,276.2604,0.1468,0.1612,0.9101,0.3628,0.8873
5430402O13Rik,5430402O13Rik,3.3465,0.7651,0.8166,0.937,0.3488,0.8829
5430403N17Rik,5430403N17Rik,1.0503,0.416,1.3866,0.3,0.7642,0.97
5430405H02Rik,5430405H02Rik,34.1977,0.1654,0.2965,0.5579,0.5769,0.9343
