"sample","Axis1","Axis2","group","method"
"J_XYL_F_0001_01",-0.328648305277667,0.00775014888627556,"IBS_before","PCoA"
"J_XYL_F_0001_02",-0.211787390769012,0.230420678400752,"IBS_after","PCoA"
"J_XYL_F_0002_01",0.0981848483903552,-0.042777062290406,"IBS_before","PCoA"
"J_XYL_F_0002_02",0.175774856858272,0.0432797602793545,"IBS_after","PCoA"
"J_XYL_F_0003_01",0.0698634231590621,-0.0976080491540215,"IBS_before","PCoA"
"J_XYL_F_0003_02",0.051728676079415,-0.255069447045246,"IBS_after","PCoA"
"J_XYL_F_0004_01",0.18536949077046,0.0446101067307157,"IBS_before","PCoA"
"J_XYL_F_0004_02",0.162282648169846,0.0522092484160556,"IBS_after","PCoA"
"J_XYL_F_0005_01",0.0820830975977613,-0.134011463491164,"IBS_before","PCoA"
"J_XYL_F_0005_02",-0.0469033610515884,0.0290563779936972,"IBS_after","PCoA"
"J_XYL_F_0006_01",0.118946676041303,0.0609152106120969,"IBS_before","PCoA"
"J_XYL_F_0006_02",-0.085540808362599,-0.217827579231127,"IBS_after","PCoA"
"J_XYL_F_0010_01",0.0400444747287859,0.13377992017463,"IBS_before","PCoA"
"J_XYL_F_0010_02",0.230298894988352,0.139239174719697,"IBS_after","PCoA"
"J_XYL_F_0012_01",-0.0550409384136705,-0.342722577457499,"IBS_before","PCoA"
"J_XYL_F_0012_02",-0.0152897357813462,-0.458532275979191,"IBS_after","PCoA"
"J_XYL_F_0013_01",0.124176662759506,0.0418045582809615,"IBS_before","PCoA"
"J_XYL_F_0013_02",0.174831425372134,0.19905399055482,"IBS_after","PCoA"
"J_XYL_F_0015_01",-0.17446409088012,-0.068034014798624,"IBS_before","PCoA"
"J_XYL_F_0015_02",-0.0599491628126447,-0.272733632222264,"IBS_after","PCoA"
"J_XYL_F_0016_01",-0.192162493712606,-0.0716935117567623,"IBS_before","PCoA"
"J_XYL_F_0016_02",-0.0657991700470507,-0.0985773916212523,"IBS_after","PCoA"
"J_XYL_F_0018_01",0.140875402590011,0.0901154722187575,"IBS_before","PCoA"
"J_XYL_F_0018_02",-0.0538822686453799,-0.25659791136407,"IBS_after","PCoA"
"J_XYL_F_0020_01",0.207663119232466,0.0895794041884672,"IBS_before","PCoA"
"J_XYL_F_0020_02",-0.163474681749921,-0.0911673226694902,"IBS_after","PCoA"
"J_XYL_F_0025_01",-0.154036606156374,-0.032941424247229,"IBS_before","PCoA"
"J_XYL_F_0025_02",-0.0671049228834698,0.100760214726218,"IBS_after","PCoA"
"J_XYL_F_0031_01",0.204847133355925,0.147984304945348,"IBS_before","PCoA"
"J_XYL_F_0031_02",0.14495427429067,0.109465926455449,"IBS_after","PCoA"
"J_XYL_F_0032_01",-0.0334443017573811,-0.157625331245763,"IBS_before","PCoA"
"J_XYL_F_0032_02",0.0707254781855458,0.0347536865734763,"IBS_after","PCoA"
"J_XYL_F_0034_01",-0.0149708506406131,0.124833290122823,"IBS_before","PCoA"
"J_XYL_F_0034_02",-0.288350426791099,0.101805613339222,"IBS_after","PCoA"
"J_XYL_F_0036_01",-0.0314545561101509,-0.0315172263060297,"IBS_before","PCoA"
"J_XYL_F_0036_02",-0.0676731992665386,-0.198180156416599,"IBS_after","PCoA"
"J_XYL_F_0043_01",0.0855533975193309,0.15830644063165,"IBS_before","PCoA"
"J_XYL_F_0043_2",-0.0597303423884288,-0.189793851205639,"IBS_after","PCoA"
"J_XYL_F_0044_01",0.0467297157653953,0.101502433560856,"IBS_before","PCoA"
"J_XYL_F_0044_02",-0.106206143521711,0.045457626913848,"IBS_after","PCoA"
"J_XYL_F_0045_01",-0.468983202262161,0.124645997497372,"IBS_before","PCoA"
"J_XYL_F_0045_2",-0.432183785423565,0.128644299341377,"IBS_after","PCoA"
"J_XYL_F_0046_01",0.0900156915164997,-0.0224373880684221,"IBS_before","PCoA"
"J_XYL_F_0046_02",-0.0195924154903836,0.132211072927085,"IBS_after","PCoA"
"J_XYL_F_0047_01",-0.0881330186651587,0.20616793611436,"IBS_before","PCoA"
"J_XYL_F_0047_02",-0.00306938205091099,0.0789208644832809,"IBS_after","PCoA"
"J_XYL_F_0048_01",-0.48794623199213,0.145078193931203,"IBS_before","PCoA"
"J_XYL_F_0049_02",-0.0790117016138114,0.0404487193354637,"IBS_after","PCoA"
"J_XYL_F_0050_01",-0.377486992194191,0.116632667291759,"IBS_before","PCoA"
"J_XYL_F_0050_02",-0.178322995218989,-0.154602550790321,"IBS_after","PCoA"
"J_XYL_F_0051_01",-0.343532892524422,0.15046696957378,"IBS_before","PCoA"
"J_XYL_F_0051_02",0.178666496391993,-0.0799270564442731,"IBS_after","PCoA"
"J_XYL_F_0053_01",0.104501827690538,-0.024233046947005,"IBS_before","PCoA"
"J_XYL_F_0053_02",0.0932748956895241,-0.161077538943947,"IBS_after","PCoA"
"J_XYL_F_0057_01",-0.285101453738038,0.0178893333093273,"IBS_before","PCoA"
"J_XYL_F_0057_02",-0.0561187108085488,0.00769844826941958,"IBS_after","PCoA"
"J_XYL_F_0058_01",-0.349828558298563,0.0887195487846751,"IBS_before","PCoA"
"J_XYL_F_0058_02",0.0567467669922272,0.0219396287596275,"IBS_after","PCoA"
"J_XYL_F_0059_01",0.107851775172885,-0.00272991989942668,"IBS_before","PCoA"
"J_XYL_F_0059_02",0.104485841415519,0.0422728035392978,"IBS_after","PCoA"
"J_XYL_F_0060_01",-0.103096008298342,-0.0261761701592102,"IBS_before","PCoA"
"J_XYL_F_0060_02",0.176252819239729,0.176990103157693,"IBS_after","PCoA"
"J_XYL_F_0061_01",0.250398494180827,0.101575468908826,"IBS_before","PCoA"
"J_XYL_F_0061_02",0.0914351670483295,-0.0867613160333873,"IBS_after","PCoA"
"J_XYL_F_0062_01",0.184799499101479,0.0297006916673526,"IBS_before","PCoA"
"J_XYL_F_0062_02",0.18453849840667,0.0240219784334643,"IBS_after","PCoA"
"J_XYL_F_0064_01",-0.320530893967193,0.14252134475688,"IBS_before","PCoA"
"J_XYL_F_0064_02",-0.320148176145359,0.0451912903599061,"IBS_after","PCoA"
"J_XYL_F_0065_01",0.109196432243009,0.0743373632505491,"IBS_before","PCoA"
"J_XYL_F_0065_02",0.126733690874027,0.0756360479525951,"IBS_after","PCoA"
"J_XYL_F_0066_01",-0.222439604645673,-0.0748972501663708,"IBS_before","PCoA"
"J_XYL_F_0066_02",0.0723985724033983,0.00114003201731081,"IBS_after","PCoA"
"K_XYL_F_0001_01",-0.274735675527833,0.0397245042378605,"UC_before","PCoA"
"K_XYL_F_0001_02",0.0346290561273647,0.322373896095038,"UC_after","PCoA"
"K_XYL_F_0002_01",-0.377509508775689,0.129611219632806,"UC_before","PCoA"
"K_XYL_F_0002_02",0.0120589269988082,0.295662382910976,"UC_after","PCoA"
"K_XYL_F_0003_01",-0.0780543503456986,-0.193441277569132,"UC_before","PCoA"
"K_XYL_F_0003_02",-0.395195821241814,0.0868573196841322,"UC_after","PCoA"
"K_XYL_F_0004_01",-0.295777374976384,0.0677277839688543,"UC_before","PCoA"
"K_XYL_F_0004_02",-0.186931584961987,0.276060873591287,"UC_after","PCoA"
"K_XYL_F_0005_01",-0.0519746211211479,-0.195350613675235,"UC_before","PCoA"
"K_XYL_F_0005_02",0.291379021113727,0.135187423785387,"UC_after","PCoA"
"K_XYL_F_0007_01",-0.0995774489361951,0.0729784212137659,"UC_before","PCoA"
"K_XYL_F_0007_02",-0.0165260323466824,0.0823635696722872,"UC_after","PCoA"
"K_XYL_F_0008_01",-0.080815125168211,-0.108287180843618,"UC_before","PCoA"
"K_XYL_F_0008_02",-0.262082955913177,-0.036274400065668,"UC_after","PCoA"
"K_XYL_F_0009_01",0.038561224590723,-0.210992816123798,"UC_before","PCoA"
"K_XYL_F_0009_02",0.0592397899414147,0.0529629691386437,"UC_after","PCoA"
"K_XYL_F_0009_03",0.212314126949239,-0.140639813202353,"NA","PCoA"
"K_XYL_F_0011_01",0.029909322199208,-0.0576631051394691,"UC_before","PCoA"
"K_XYL_F_0011_02",0.157183615633607,-0.0341883066810508,"UC_after","PCoA"
"K_XYL_F_0012_01",0.174496115656349,0.0401882234225657,"UC_before","PCoA"
"K_XYL_F_0012_02",0.0859414654327832,-0.338398989269693,"UC_after","PCoA"
"K_XYL_F_0013_01",-0.365180366833741,0.035998941238387,"UC_before","PCoA"
"K_XYL_F_0013_02",0.0803421344450779,-0.268926597097957,"UC_after","PCoA"
"K_XYL_F_0017_01",0.124374150810506,0.190943574906024,"UC_before","PCoA"
"K_XYL_F_0017_02",-0.0884262321922414,0.176455317084263,"UC_after","PCoA"
"K_XYL_F_0018_01",0.119306917695962,-0.0106795787428482,"UC_before","PCoA"
"K_XYL_F_0018_02",-0.0454739590193285,0.0153596693830193,"UC_after","PCoA"
"K_XYL_F_0022_01",0.196517090740078,0.0494087215900581,"UC_before","PCoA"
"K_XYL_F_0022_02",0.030069649638171,-0.369868518440106,"UC_after","PCoA"
"K_XYL_F_0028_01",-0.0243617858249763,-0.145888460281217,"UC_before","PCoA"
"K_XYL_F_0028_02",0.153656786840129,-0.035722124596817,"UC_after","PCoA"
"K_XYL_F_0030_02",-0.0199503914269391,-0.228715052658963,"UC_after","PCoA"
"K_XYL_F_0030_03",0.332416877440144,0.199900459026752,"UC_before","PCoA"
"K_XYL_F_0033_01",0.298074432258916,-0.00699590976448805,"UC_before","PCoA"
"K_XYL_F_0033_02",0.257212937344301,0.00204927738972551,"UC_after","PCoA"
"K_XYL_F_0035_01",0.150260488605382,0.0170921408019055,"UC_before","PCoA"
"K_XYL_F_0035_02",-0.0653676531490999,0.0428994323678763,"UC_after","PCoA"
"K_XYL_F_0035_03",-0.0360203514314077,-0.0480523762748214,"NA","PCoA"
"K_XYL_F_0036_01",0.0406082028410099,0.0702874472777802,"UC_before","PCoA"
"K_XYL_F_0036_02",0.226675503159347,0.0349857064410831,"UC_after","PCoA"
"K_XYL_F_0037_01",0.00174904211032561,-0.468772768193063,"UC_before","PCoA"
"K_XYL_F_0037_02",0.0804863513991249,-0.389064711236426,"UC_after","PCoA"
"K_XYL_F_0038_01",0.0587201651343207,0.197616886028504,"UC_before","PCoA"
"K_XYL_F_0038_02",0.210544349985086,0.202275422256693,"UC_after","PCoA"
"K_XYL_F_0039_01",0.13800401789831,0.122238318722894,"UC_before","PCoA"
"K_XYL_F_0039_02",-0.440806877753903,0.107715574242982,"UC_after","PCoA"
"K_XYL_F_0042_01",0.151377266742839,-0.261627193747695,"UC_before","PCoA"
"K_XYL_F_0042_02",0.0398464888090967,-0.399874975869426,"UC_after","PCoA"
"K_XYL_F_0043_01",0.221972550542456,0.152961988017612,"UC_before","PCoA"
"K_XYL_F_0043_02",0.32276892817715,0.175499038197077,"UC_after","PCoA"
"K_XYL_F_0044_01",0.30085371887531,0.123266057441023,"UC_before","PCoA"
"K_XYL_F_0044_02",0.294147815446402,0.117919056992423,"UC_after","PCoA"
"K_XYL_F_0045_01",0.033287356240995,-0.10300543161023,"UC_before","PCoA"
"K_XYL_F_0045_02",0.172494192580052,0.132053714985172,"UC_after","PCoA"
"K_XYL_F_0046_01",0.0268101372541244,-0.170209908958981,"UC_before","PCoA"
"K_XYL_F_0046_02",0.150089097287958,0.166718427794005,"UC_after","PCoA"
"K_XYL_F_0047_01",0.119375884823365,0.0127283961996995,"UC_before","PCoA"
"K_XYL_F_0047_02",0.0999729615311893,0.0380583916146999,"UC_after","PCoA"
"K_XYL_F_0048_01",-0.200308387061458,-0.0701671060174775,"UC_before","PCoA"
"K_XYL_F_0048_02",-0.0574420411568802,-0.102605257725769,"UC_after","PCoA"
"J_XYL_F_0001_01",-2198.21543184602,-1443.92535284619,"IBS_before","PCA"
"J_XYL_F_0001_02",-5763.6292441262,3782.83140413901,"IBS_after","PCA"
"J_XYL_F_0002_01",778.657200998763,-682.29696166736,"IBS_before","PCA"
"J_XYL_F_0002_02",1695.3630390502,804.648944975906,"IBS_after","PCA"
"J_XYL_F_0003_01",590.712337527989,-1163.61294490727,"IBS_before","PCA"
"J_XYL_F_0003_02",730.169238767846,-4526.1121485449,"IBS_after","PCA"
"J_XYL_F_0004_01",1612.01203819839,159.186065261862,"IBS_before","PCA"
"J_XYL_F_0004_02",1618.87228769125,-180.696660360295,"IBS_after","PCA"
"J_XYL_F_0005_01",1081.94655930966,-1718.21573763598,"IBS_before","PCA"
"J_XYL_F_0005_02",-717.118937970867,-13.0572130236579,"IBS_after","PCA"
"J_XYL_F_0006_01",1172.13006287849,223.04221765748,"IBS_before","PCA"
"J_XYL_F_0006_02",-68.1241917324401,-2272.84543096612,"IBS_after","PCA"
"J_XYL_F_0010_01",301.664347727156,1368.33749706245,"IBS_before","PCA"
"J_XYL_F_0010_02",3097.06688335521,2709.75787741187,"IBS_after","PCA"
"J_XYL_F_0012_01",98.1474647046072,-5531.07844224962,"IBS_before","PCA"
"J_XYL_F_0012_02",395.792509994194,-6009.09904923189,"IBS_after","PCA"
"J_XYL_F_0013_01",1240.33986813705,341.051189677779,"IBS_before","PCA"
"J_XYL_F_0013_02",2868.24273458139,3205.88959517789,"IBS_after","PCA"
"J_XYL_F_0015_01",-1148.02514955341,-1252.69997887875,"IBS_before","PCA"
"J_XYL_F_0015_02",113.235887081865,-2844.1343603375,"IBS_after","PCA"
"J_XYL_F_0016_01",-1713.01198631672,-1388.09809881485,"IBS_before","PCA"
"J_XYL_F_0016_02",-60.7322880827314,-1452.53006538593,"IBS_after","PCA"
"J_XYL_F_0018_01",1444.08875902909,1197.3369587907,"IBS_before","PCA"
"J_XYL_F_0018_02",650.691929614317,-3204.47495183064,"IBS_after","PCA"
"J_XYL_F_0020_01",2121.49817228847,1358.07607041471,"IBS_before","PCA"
"J_XYL_F_0020_02",-1011.21668527262,-1588.6018105944,"IBS_after","PCA"
"J_XYL_F_0025_01",-1196.97749441423,-1023.20740562374,"IBS_before","PCA"
"J_XYL_F_0025_02",-1060.39606487937,741.926417828707,"IBS_after","PCA"
"J_XYL_F_0031_01",3196.13685551689,2897.24981541362,"IBS_before","PCA"
"J_XYL_F_0031_02",1625.27151816174,1153.42929044409,"IBS_after","PCA"
"J_XYL_F_0032_01",43.9989168649641,-1984.95238064963,"IBS_before","PCA"
"J_XYL_F_0032_02",543.366581492043,-25.7331139830717,"IBS_after","PCA"
"J_XYL_F_0034_01",-488.939093840552,1008.62618110368,"IBS_before","PCA"
"J_XYL_F_0034_02",-5045.94343740041,1654.39315887682,"IBS_after","PCA"
"J_XYL_F_0036_01",-282.781832243144,-625.781811035276,"IBS_before","PCA"
"J_XYL_F_0036_02",14.6222330136627,-2199.0088992813,"IBS_after","PCA"
"J_XYL_F_0043_01",955.927211407885,1949.06347689451,"IBS_before","PCA"
"J_XYL_F_0043_2",-119.614304113193,-2187.4958748869,"IBS_after","PCA"
"J_XYL_F_0044_01",595.472775994867,514.474656796903,"IBS_before","PCA"
"J_XYL_F_0044_02",-769.210259659477,-211.879121874697,"IBS_after","PCA"
"J_XYL_F_0045_01",-7091.3004682138,1218.00433717111,"IBS_before","PCA"
"J_XYL_F_0045_2",-11399.3720083171,3813.61963396244,"IBS_after","PCA"
"J_XYL_F_0046_01",789.44554539548,-434.154409703606,"IBS_before","PCA"
"J_XYL_F_0046_02",-571.577689889786,1188.78049966762,"IBS_after","PCA"
"J_XYL_F_0047_01",-1702.57484265776,2092.29127545325,"IBS_before","PCA"
"J_XYL_F_0047_02",-132.340054158357,383.324308630935,"IBS_after","PCA"
"J_XYL_F_0048_01",-6846.12469411334,1003.25082984426,"IBS_before","PCA"
"J_XYL_F_0049_02",-988.876326914519,58.1814976860019,"IBS_after","PCA"
"J_XYL_F_0050_01",-6179.27567577703,1795.25196771706,"IBS_before","PCA"
"J_XYL_F_0050_02",-1033.7553630536,-3599.6521383926,"IBS_after","PCA"
"J_XYL_F_0051_01",-5845.97515229446,2177.86997009224,"IBS_before","PCA"
"J_XYL_F_0051_02",1666.21190645604,-1295.75670810577,"IBS_after","PCA"
"J_XYL_F_0053_01",886.726533264982,-192.281565149374,"IBS_before","PCA"
"J_XYL_F_0053_02",836.001721388793,-1568.21806012343,"IBS_after","PCA"
"J_XYL_F_0057_01",-1995.76843376714,-1001.88558470854,"IBS_before","PCA"
"J_XYL_F_0057_02",-556.91698262379,-315.283408359396,"IBS_after","PCA"
"J_XYL_F_0058_01",-4172.57294593261,512.840016056033,"IBS_before","PCA"
"J_XYL_F_0058_02",431.146651757804,-213.358796434064,"IBS_after","PCA"
"J_XYL_F_0059_01",1023.13459066318,-297.653480735235,"IBS_before","PCA"
