"feature","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik","0610005C13Rik",7.34044425613032,0.75443812878685,0.615226741151985,1.22627655516761,0.220094620881518,NA
"0610007P14Rik","0610007P14Rik",1295.32530012154,-0.00395784841870566,0.0761709056390874,-0.0519601071498181,0.958560480332715,0.979235488082447
"0610009B22Rik","0610009B22Rik",914.673445902856,0.0587811569291413,0.0733078397849199,0.80183998193919,0.42264552754116,0.623353695184369
"0610009L18Rik","0610009L18Rik",33.5596505693524,0.422529454966345,0.296350854421543,1.42577437743884,0.153933479205623,0.337146019722774
"0610009O20Rik","0610009O20Rik",1321.21698530946,-0.108496375431888,0.0703889899519588,-1.54138275752981,0.123223657981596,0.292561425269364
"0610010F05Rik","0610010F05Rik",868.068346921158,0.17720489034094,0.151634888054823,1.16862875433306,0.242553237966321,0.450703891210771
"0610010K14Rik","0610010K14Rik",1046.30392718268,-0.082099590324431,0.0744850146876568,-1.10222963194281,0.270361852676868,0.480307450231021
"0610011F06Rik","0610011F06Rik",388.72805187107,-0.159455128424554,0.0994902117131123,-1.60272177211116,0.108996094497203,0.271225174718814
"0610012G03Rik","0610012G03Rik",401.256418931034,0.0409076794601922,0.0983240868906537,0.416049421396465,0.67737383958906,0.813848821502352
"0610030E20Rik","0610030E20Rik",957.256116607729,0.00353444268903837,0.0942224984864142,0.0375116638362969,0.970077040296572,0.984184332754623
"0610037L13Rik","0610037L13Rik",1083.98948540313,-0.136919282794232,0.0866766081583501,-1.57965667673674,0.114185512126099,0.279504116036103
"0610038B21Rik","0610038B21Rik",9.59665553530523,0.237134369066902,0.461553585107713,0.513774297759083,0.607409799637821,0.767018788632033
"0610039K10Rik","0610039K10Rik",1.3576759553487,-1.43255551138782,1.58180733753797,-0.905644750401492,0.365123914534274,NA
"0610040B10Rik","0610040B10Rik",23.1125894282324,-0.012720756971353,0.414789393409402,-0.0306679900052254,0.975534319423938,0.987228744471352
"0610040F04Rik","0610040F04Rik",0.566019684062575,-1.61039919407329,2.04860550808175,-0.78609531592113,0.431811648277719,NA
"0610040J01Rik","0610040J01Rik",2.87489147651176,2.30470993083892,1.68576930450598,1.36715618482229,0.171576355603701,NA
"0610043K17Rik","0610043K17Rik",2.28744081094592,1.27573404956183,1.04180221690524,1.22454533966294,0.220746573416139,NA
"1010001N08Rik","1010001N08Rik",1.36329714753098,-1.49975692103329,1.39514051346727,-1.07498628744285,0.282380867659615,NA
"1110001J03Rik","1110001J03Rik",135.44648927399,-0.291812836597329,0.142168149221836,-2.05258940342531,0.0401124161269826,0.143751234976693
"1110002L01Rik","1110002L01Rik",73.2487978658607,-0.06654049709148,0.185829679729212,-0.358072495138783,0.720289061910791,0.842989720061438
"1110004E09Rik","1110004E09Rik",681.615645656827,0.0793405741486774,0.131408849449833,0.603768882239293,0.545997310689881,0.722015090675543
"1110004F10Rik","1110004F10Rik",2926.3503014815,-0.17213540188616,0.0926472427785644,-1.85796572810677,0.0631738813387507,0.192453237642698
"1110006O24Rik","1110006O24Rik",8.12947669878706,0.0822602723491885,0.504523009698159,0.163045630760037,0.870482507190346,NA
