primary,PCoA1,PCoA2,PCoA3
K_XYL_F_0036_02,0.2279,0.0266,0.0326
K_XYL_F_0037_01,-0.0119,-0.4656,-0.29
K_XYL_F_0037_02,0.068,-0.3897,-0.2863
K_XYL_F_0038_01,0.0667,0.1953,-0.005
K_XYL_F_0038_02,0.218,0.1914,-0.0815
K_XYL_F_0039_01,0.1486,0.1244,0.0019
K_XYL_F_0039_02,-0.4372,0.118,-0.0531
K_XYL_F_0042_01,0.141,-0.2669,-0.1441
K_XYL_F_0042_02,0.0268,-0.4017,-0.1832
K_XYL_F_0043_01,0.2286,0.1439,-0.0362
K_XYL_F_0043_02,0.3281,0.1617,-0.091
K_XYL_F_0044_01,0.305,0.1126,-0.03
K_XYL_F_0044_02,0.298,0.1079,-0.0398
K_XYL_F_0045_01,0.0293,-0.1036,-0.1139
K_XYL_F_0045_02,0.1775,0.125,-0.0342
K_XYL_F_0046_01,0.0223,-0.1704,-0.1023
K_XYL_F_0046_02,0.1566,0.1601,-0.0406
K_XYL_F_0047_01,0.123,0.0097,0.0638
K_XYL_F_0047_02,0.1037,0.0357,0.0617
K_XYL_F_0048_01,-0.2027,-0.0654,-0.1398
K_XYL_F_0048_02,-0.055,-0.1043,0.1683
