"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"s__pullicaecorum","Group_sub",0.93070047135011,1,"IBS_before_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",7.96551724137931,2.99376804628849
"s__zeae","Group_sub",1,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.533333333333333,-0.906890595608519
"s__biforme","Group_sub",0.693152339359209,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.791519434628975,-0.337303320774278
"s__reuteri","Group_sub",0.00931161022117654,0.512138562164709,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.106334841628959,-3.23331370771379
"s__uniformis","Group_sub",0.504203151968075,1,"IBS_before_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",1.6288532675709,0.703856647029555
"s__stercorea","Group_sub",0.697136884040823,1,"IBS_before_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",1.85812356979405,0.893846447684578
"s__caccae","Group_sub",0.786843966527626,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.986263736263736,-0.019954606375645
"s__formicigenerans","Group_sub",0.948308499497129,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.943932411674347,-0.0832445327929738
"s__obeum","Group_sub",0.384627899243821,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.541766109785203,-0.884257946408437
"s__torques","Group_sub",0.514317385034572,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.67590618336887,-0.565105082375969
"s__eutactus","Group_sub",0.434628543734562,1,"IBS_before_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",1.9452380952381,0.959946750479561
"s__rhizosphaerae","Group_sub",0.242918847417124,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.407821229050279,-1.29399121838424
"s__parvula","Group_sub",0.497299483862142,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.68984962406015,-0.535646182657977
"s__palleronii","Group_sub",0.968040148586462,1,"IBS_before_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",1.23759791122715,0.307542666973302
"s__mucosae","Group_sub",0.530713078569355,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.0423728813559322,-4.56071495447448
"s__putredinis","Group_sub",0.732373496697565,1,"IBS_before_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",1.31034482758621,0.389946518316013
"s__citroniae","Group_sub",0.450033186107523,1,"IBS_before_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",1.63921568627451,0.713005695222025
"s__breve","Group_sub",0.308088087038606,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.428082191780822,-1.22404027421793
"s__bifidum","Group_sub",0.961132169398719,1,"IBS_before_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",1.73275862068966,0.793070696051356
"s__colinum","Group_sub",0.35360918951154,1,"IBS_after_poor","Wilcoxon rank sum test with continuity correction","IBS_before_poor vs IBS_after_poor",0.741935483870968,-0.430634354329863
